candidate,seed,gamma,coupling_scale,nonlinear_strength,loss,input_injection,noise,connectivity_radius,peak_norm_through_t32,norm_t32,survival_t16,survival_t32,effective_rank_t32,effective_rank_retention,noise_adjusted_capacity_bits,cycle_period,input_separation,nonlinear_effect,accepted,failure_reasons
candidate-8,101,0.03,1.0,2.0,0.98,0.5,0.0,1,0.9715968585874796,0.41352619787419403,0.6310844576162797,0.41450534049540533,3.9999867929027473,1.0000058051718947,26.3272065540803,,0.20163164428789312,0.01646155101486591,true,
candidate-8,202,0.03,1.0,2.0,0.98,0.5,0.0,1,0.9698119773590588,0.3762355443755438,0.6178203282456429,0.3842075174355229,3.9999661256885575,0.9999942681691981,26.287210977742333,,0.09506030825890951,0.0004538921182380221,true,
candidate-8,303,0.03,1.0,2.0,0.98,0.5,0.0,1,0.975161524581021,0.48187049195794857,0.5901684140969795,0.3516349968362396,3.9999677949768047,0.9999927802258171,26.287814814475876,,0.17520908292168424,0.009218743977783904,true,
candidate-9,101,0.03,1.5,0.5,0.98,0.1,0.0,1,0.9733538956626397,0.5054345694671827,0.6456959781514832,0.4536864704396865,3.9999664699303388,1.0000107963364349,26.357290015867925,,0.06731148032402073,0.005237026521318785,true,
candidate-9,202,0.03,1.5,0.5,0.98,0.1,0.0,1,0.9700818421388414,0.3815012636922515,0.6211356910913257,0.391719984636802,3.999936314563131,0.9999884398692285,26.299366191176315,,0.028695074297539813,0.0008438070202137119,true,
candidate-9,303,0.03,1.5,0.5,0.98,0.1,0.0,1,0.9780662257088938,0.5651294460471898,0.5806879038802258,0.34876057433288155,3.9999124622015536,0.9999790822401691,26.29444907649259,,0.05675511738405708,0.005294254916493836,true,
candidate-10,101,0.03,1.5,0.5,0.98,0.3,0.0,1,0.9729846613225152,0.47672457850730926,0.6482496202100857,0.45792894185375843,3.999965356490633,1.0000120608047882,26.359547355359712,,0.20110684788098185,0.01022746636385238,true,
candidate-10,202,0.03,1.5,0.5,0.98,0.3,0.0,1,0.9699030983871126,0.37953445732831703,0.621117012842783,0.39168829822444917,3.999936360231233,0.9999884414878619,26.299306859482037,,0.08601242872846183,0.0005602998173754424,true,
candidate-10,303,0.03,1.5,0.5,0.98,0.3,0.0,1,0.9780686707550247,0.5642213012718311,0.5801464413339691,0.34824468942600445,3.999911993648535,0.9999790092155976,26.294101402524802,,0.16972496802871304,0.0071524412962756705,true,
candidate-11,101,0.03,1.5,0.5,0.98,0.5,0.0,1,0.9725732682596094,0.4550580873618392,0.6498799321418318,0.45978522090110086,3.9999648950541,1.0000130408790169,26.36141675134373,,0.33246551670673724,0.017640134543139317,true,
candidate-11,202,0.03,1.5,0.5,0.98,0.5,0.0,1,0.9697253729921858,0.3781065401817318,0.6210909465934473,0.39164406709605476,3.999936445788145,0.9999884521272352,26.29923317991952,,0.14311216379465735,0.0003821771515495502,true,
candidate-11,303,0.03,1.5,0.5,0.98,0.5,0.0,1,0.9780450571900925,0.5662533834816321,0.5796166988997238,0.34768946072271867,3.99991217356232,0.99997910339337,26.293695883170898,,0.28109523384665835,0.010775073912676358,true,
candidate-12,101,0.03,1.5,1.0,0.98,0.1,0.0,1,0.9729188524230022,0.4941820551785379,0.6408356176992226,0.44665314532902933,3.999968566208212,1.000008565000617,26.34754653962672,,0.06505897484749047,0.010039427347272905,true,
candidate-12,202,0.03,1.5,1.0,0.98,0.1,0.0,1,0.9700774394627668,0.38147054268203406,0.6211814247323462,0.39173412235974525,3.9999363616208323,0.9999884054112863,26.299038683835136,,0.028355423257319906,0.001664786149742386,true,
candidate-12,303,0.03,1.5,1.0,0.98,0.1,0.0,1,0.9777797460684428,0.5579462128621205,0.5831863291048248,0.3490483308123092,3.99991767214172,0.999980314733098,26.294063688271322,,0.05565152770844165,0.010200697100812992,true,
candidate-13,101,0.03,1.5,1.0,0.98,0.3,0.0,1,0.972693246488268,0.4694420153724764,0.6451709561646235,0.45403417800834905,3.999966673220527,1.0000107535017273,26.35062580916479,,0.1937367700517633,0.019246961794735926,true,
candidate-13,202,0.03,1.5,1.0,0.98,0.3,0.0,1,0.9698998589248957,0.379503748849014,0.6211441100836493,0.39167095251219386,3.9999364526858545,0.9999884086390106,26.29892296703783,,0.08492506681043484,0.0011078283025481644,true,
