run,seed,corruption,severity,recurrence,wrong_to_correct,correct_to_wrong,wrong_to_correct_probability,correct_to_wrong_probability,confidence_amplifications,confidence_amplification_probability
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,15,0,0,0.0,0.0,998,0.998
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,16,0,0,0.0,0.0,997,0.997
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,17,0,0,0.0,0.0,995,0.995
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,18,0,0,0.0,0.0,996,0.996
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,19,0,0,0.0,0.0,995,0.995
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,20,0,0,0.0,0.0,993,0.993
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,21,0,0,0.0,0.0,991,0.991
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,22,1,0,0.0010787486515641857,0.0,988,0.988
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,23,0,0,0.0,0.0,980,0.98
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,24,0,0,0.0,0.0,972,0.972
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,25,0,0,0.0,0.0,963,0.963
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,26,0,0,0.0,0.0,949,0.949
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,27,0,0,0.0,0.0,942,0.942
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,28,0,0,0.0,0.0,928,0.928
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,29,0,0,0.0,0.0,911,0.911
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,30,0,0,0.0,0.0,894,0.894
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,31,0,0,0.0,0.0,880,0.88
brief3_primary_gaussian-020_seed_20260809,20260809,gaussian,0.2,32,0,0,0.0,0.0,868,0.868
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,1,0,0,0.0,0.0,0,0.0
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,2,2,0,0.0021645021645021645,0.0,995,0.995
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,3,0,0,0.0,0.0,998,0.998
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,4,0,0,0.0,0.0,998,0.998
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,5,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,6,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,7,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,8,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,9,1,0,0.001084598698481562,0.0,999,0.999
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,10,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,11,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,12,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,13,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,14,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,15,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,16,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,17,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,18,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,19,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,20,0,0,0.0,0.0,998,0.998
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,21,0,1,0.0,0.012658227848101266,995,0.995
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,22,0,0,0.0,0.0,994,0.994
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,23,0,0,0.0,0.0,993,0.993
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,24,0,0,0.0,0.0,990,0.99
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,25,0,0,0.0,0.0,981,0.981
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,26,0,0,0.0,0.0,975,0.975
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,27,0,0,0.0,0.0,965,0.965
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,28,0,0,0.0,0.0,950,0.95
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,29,0,0,0.0,0.0,938,0.938
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,30,0,0,0.0,0.0,930,0.93
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,31,0,0,0.0,0.0,916,0.916
brief3_primary_gaussian-030_seed_20260809,20260809,gaussian,0.3,32,0,0,0.0,0.0,896,0.896
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,1,0,0,0.0,0.0,0,0.0
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,2,1,0,0.0010869565217391304,0.0,996,0.996
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,3,1,0,0.001088139281828074,0.0,998,0.998
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,4,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,5,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,6,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,7,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,8,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,9,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,10,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,11,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,12,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,13,0,0,0.0,0.0,1000,1.0
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,14,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,15,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,16,0,0,0.0,0.0,999,0.999
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,17,0,0,0.0,0.0,997,0.997
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,18,0,0,0.0,0.0,997,0.997
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,19,0,0,0.0,0.0,997,0.997
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,20,0,0,0.0,0.0,997,0.997
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,21,0,1,0.0,0.012195121951219513,997,0.997
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,22,0,0,0.0,0.0,994,0.994
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,23,0,0,0.0,0.0,993,0.993
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,24,0,0,0.0,0.0,992,0.992
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,25,0,0,0.0,0.0,990,0.99
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,26,0,0,0.0,0.0,984,0.984
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,27,0,0,0.0,0.0,984,0.984
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,28,0,0,0.0,0.0,974,0.974
brief3_primary_gaussian-040_seed_20260809,20260809,gaussian,0.4,29,0,0,0.0,0.0,963,0.963
