candidate,seed,mode,norm_t32,survival_t16,survival_t32,effective_rank_t32,cycle_period
candidate-13,101,driven,0.4694420153724764,0.6451709561646235,0.45403417800834905,3.999966673220527,
candidate-13,202,autonomous,0.3826532328304687,0.621194549707625,0.39175631414152595,3.99993634604999,
candidate-13,202,driven,0.379503748849014,0.6211441100836493,0.39167095251219386,3.9999364526858545,
candidate-13,303,autonomous,0.5592882101650045,0.5836713791948379,0.34950692933068483,3.9999185263273382,
candidate-13,303,driven,0.5570181801501705,0.5822404804322131,0.34809531082948075,3.9999168345428835,
candidate-14,101,autonomous,0.5073313532594529,0.6384350937851259,0.4420675121973177,3.9999699311768167,
candidate-14,101,driven,0.44999821199627693,0.6481992679469023,0.4574610546830579,3.999965971089506,
candidate-14,202,autonomous,0.3826532328304687,0.621194549707625,0.39175631414152595,3.99993634604999,
candidate-14,202,driven,0.37807626687369666,0.6210922147927754,0.3915830218986255,3.999936622853677,
candidate-14,303,autonomous,0.5592882101650045,0.5836713791948379,0.34950692933068483,3.9999185263273382,
candidate-14,303,driven,0.558243442165464,0.5813396993755757,0.3471093129752455,3.9999171992363114,
candidate-15,101,autonomous,0.4861981974280928,0.6300808043305947,0.4290551166154934,3.9999736854075465,
candidate-15,101,driven,0.47710029471487075,0.633211917151339,0.4354437432223754,3.9999715287196684,
candidate-15,202,autonomous,0.38259228151929014,0.6212952563678014,0.39180447491374376,3.999936424806441,
candidate-15,202,driven,0.3814097698527947,0.6212689376661233,0.39176022371100805,3.9999364558291677,
candidate-15,303,autonomous,0.5467252486109485,0.5879210371860429,0.350914787555145,3.9999277242795226,
candidate-15,303,driven,0.5457554615128275,0.5871470363555763,0.3501027859873236,3.99992629721246,
candidate-16,101,autonomous,0.4861981974280928,0.6300808043305947,0.4290551166154934,3.9999736854075465,
candidate-16,101,driven,0.4581436696063903,0.6396837561497809,0.4469739793350912,3.9999686002919472,
candidate-16,202,autonomous,0.38259228151929014,0.6212952563678014,0.39180447491374376,3.999936424806441,
candidate-16,202,driven,0.37944312942897007,0.6211945021337439,0.3916347030305948,3.999936636889117,
candidate-16,303,autonomous,0.5467252486109485,0.5879210371860429,0.350914787555145,3.9999277242795226,
candidate-16,303,driven,0.544700419578156,0.585682983565686,0.34848264962968156,3.9999249243019195,
candidate-17,101,autonomous,0.4861981974280928,0.6300808043305947,0.4290551166154934,3.9999736854075465,
candidate-17,101,driven,0.4419830587760756,0.6449688873169555,0.4528995036765926,3.9999678119964557,
candidate-17,202,autonomous,0.38259228151929014,0.6212952563678014,0.39180447491374376,3.999936424806441,
candidate-17,202,driven,0.37801670238152224,0.6210916752043636,0.3914609497532649,3.9999369735125767,
candidate-17,303,autonomous,0.5467252486109485,0.5879210371860429,0.350914787555145,3.9999277242795226,
candidate-17,303,driven,0.5445299741200449,0.5843594983304831,0.34690660571426946,3.999925654824666,
candidate-18,101,autonomous,0.5950087320824308,0.6581061340933879,0.49327429871954664,3.9999409631915417,
candidate-18,101,driven,0.5741325934408059,0.6616775222508144,0.50116548115025,3.9999377747405744,
candidate-18,202,autonomous,0.3853547382465656,0.6255420032139849,0.4021121805199442,3.9999058262435203,
candidate-18,202,driven,0.3840503245387519,0.6255229538290791,0.40207950528889996,3.999905847704125,
candidate-18,303,autonomous,0.661242781258762,0.5765805418112289,0.3517015363863083,3.9998469712276528,
candidate-18,303,driven,0.6581209421970802,0.5760089062711562,0.3512898178953604,3.9998446534330645,
candidate-19,101,autonomous,0.5950087320824308,0.6581061340933879,0.49327429871954664,3.9999409631915417,
candidate-19,101,driven,0.5346798498925026,0.6680577910972049,0.5138920291722577,3.999933070921023,
candidate-19,202,autonomous,0.3853547382465656,0.6255420032139849,0.4021121805199442,3.9999058262435203,
candidate-19,202,driven,0.3821534191336792,0.6254701397939794,0.4019876822456684,3.9999059738613103,
candidate-19,303,autonomous,0.661242781258762,0.5765805418112289,0.3517015363863083,3.9998469712276528,
candidate-19,303,driven,0.6545546096817224,0.5748739322647807,0.3503756936638709,3.9998414352308895,
candidate-20,101,autonomous,0.5950087320824308,0.6581061340933879,0.49327429871954664,3.9999409631915417,
candidate-20,101,driven,0.5040438981704226,0.6724256732957724,0.519751254876816,3.999930721888565,
candidate-20,202,autonomous,0.3853547382465656,0.6255420032139849,0.4021121805199442,3.9999058262435203,
candidate-20,202,driven,0.38121589607888234,0.6253979199056807,0.4018609363606656,3.9999062098084077,
candidate-20,303,autonomous,0.661242781258762,0.5765805418112289,0.3517015363863083,3.9998469712276528,
candidate-20,303,driven,0.6544526487605338,0.5737640874147799,0.3493501106671967,3.9998402404759474,
candidate-21,101,autonomous,0.5601762397473034,0.6457301160051373,0.47275828793889113,3.999949258543819,
candidate-21,101,driven,0.5454762547898994,0.6504396524267135,0.48374455778883924,3.999944531799577,
candidate-21,202,autonomous,0.38528322246294416,0.6256404697139271,0.40214318299100654,3.999905883688637,
candidate-21,202,driven,0.3839772801156811,0.6256024180591175,0.40207807575981386,3.999905926398344,
candidate-21,303,autonomous,0.6400648335184979,0.5810997970426101,0.35022429006955924,3.9998678819084783,
candidate-21,303,driven,0.6377330452275104,0.5801596566800156,0.34939576269655237,3.9998640893362363,
candidate-22,101,autonomous,0.5601762397473034,0.6457301160051373,0.47275828793889113,3.999949258543819,
candidate-22,101,driven,0.5149407750920783,0.6600091529369991,0.5036122945979709,3.9999378152378626,
candidate-22,202,autonomous,0.38528322246294416,0.6256404697139271,0.40214318299100654,3.999905883688637,
candidate-22,202,driven,0.38207430381982277,0.6254973428727554,0.401895653604584,3.9999061771101454,
candidate-22,303,autonomous,0.6400648335184979,0.5810997970426101,0.35022429006955924,3.9998678819084783,
candidate-22,303,driven,0.634595710670803,0.5783449968525437,0.3476885609889314,3.999858789153671,
candidate-23,101,autonomous,0.5601762397473034,0.6457301160051373,0.47275828793889113,3.999949258543819,
candidate-23,101,driven,0.4895277484135176,0.6676017343779527,0.5136587375698257,3.9999350756006353,
candidate-23,202,autonomous,0.38528322246294416,0.6256404697139271,0.40214318299100654,3.999905883688637,
candidate-23,202,driven,0.38112585711330255,0.6253544762510436,0.40164508586081726,3.999906643537568,
candidate-23,303,autonomous,0.6400648335184979,0.5810997970426101,0.35022429006955924,3.9998678819084783,
